x1,x2,x3
9.7143,9.8485,10.0008
9.8485,10.0008,10.1699
10.0008,10.1699,10.1391
10.1699,10.1391,10.2748
10.1391,10.2748,10.0959
10.2748,10.0959,10.0115
10.0959,10.0115,10.1052
10.0115,10.1052,9.9776
10.1052,9.9776,10.1334
9.9776,10.1334,10.3492
10.1334,10.3492,10.2706
10.3492,10.2706,10.3207
10.2706,10.3207,10.3627
10.3207,10.3627,10.2782
10.3627,10.2782,10.1873
10.2782,10.1873,10.1611
10.1873,10.1611,10.2428
10.1611,10.2428,10.408
10.2428,10.408,10.3281
10.408,10.3281,10.2677
10.3281,10.2677,10.3321
10.2677,10.3321,10.5828
10.3321,10.5828,10.664
10.5828,10.664,10.6665
10.664,10.6665,10.6503
10.6665,10.6503,10.5705
10.6503,10.5705,10.5565
10.5705,10.5565,10.5726
10.5565,10.5726,10.4896
10.5726,10.4896,10.6543
10.4896,10.6543,10.6639
10.6543,10.6639,10.5357
10.6639,10.5357,10.5597
10.5357,10.5597,10.4796
10.5597,10.4796,10.5095
10.4796,10.5095,10.5122
10.5095,10.5122,10.6065
10.5122,10.6065,10.6272
10.6065,10.6272,10.8994
10.6272,10.8994,10.9281
10.8994,10.9281,10.8709
10.9281,10.8709,10.9498
10.8709,10.9498,10.92
10.9498,10.92,10.829
10.92,10.829,10.8058
10.829,10.8058,10.7702
10.8058,10.7702,10.738
10.7702,10.738,10.7004
10.738,10.7004,10.6051
10.7004,10.6051,10.5852
10.6051,10.5852,10.3632
10.5852,10.3632,10.3263
10.3632,10.3263,10.3607
10.3263,10.3607,10.2833
10.3607,10.2833,10.1918
10.2833,10.1918,10.1741
10.1918,10.1741,10.4229
10.1741,10.4229,10.325
10.4229,10.325,10.2362
10.325,10.2362,10.2104
10.2362,10.2104,10.2194
10.2104,10.2194,10.4279
10.2194,10.4279,10.3613
10.4279,10.3613,10.5062
10.3613,10.5062,10.5648
10.5062,10.5648,10.6692
10.5648,10.6692,10.58
10.6692,10.58,10.5804
10.58,10.5804,10.6168
10.5804,10.6168,10.6023
10.6168,10.6023,10.7398
10.6023,10.7398,10.6988
10.7398,10.6988,10.6885
10.6988,10.6885,10.5201
10.6885,10.5201,10.2899
10.5201,10.2899,10.248
10.2899,10.248,10.2906
10.248,10.2906,10.1917
10.2906,10.1917,10.1997
10.1917,10.1997,10.2289
10.1997,10.2289,10.3285
10.2289,10.3285,10.4506
10.3285,10.4506,10.4428
10.4506,10.4428,10.3064
10.4428,10.3064,10.3267
10.3064,10.3267,10.2625
10.3267,10.2625,10.3569
10.2625,10.3569,10.5273
10.3569,10.5273,10.6471
10.5273,10.6471,10.5719
10.6471,10.5719,10.5081
10.5719,10.5081,10.5053
10.5081,10.5053,10.5032
10.5053,10.5032,10.5876
10.5032,10.5876,10.748
10.5876,10.748,10.7825
10.748,10.7825,10.8185
10.7825,10.8185,10.8561
10.8185,10.8561,10.8553
10.8561,10.8553,10.9318
10.8553,10.9318,10.8972
10.9318,10.8972,10.9295
10.8972,10.9295,10.9734
10.9295,10.9734,10.9914
10.9734,10.9914,10.9136
10.9914,10.9136,10.794
10.9136,10.794,10.8202
10.794,10.8202,10.8175
10.8202,10.8175,10.728
10.8175,10.728,10.7766
10.728,10.7766,10.8602
10.7766,10.8602,11.067
