x1,x2,x3
8.6538,8.8454,8.7447
8.8454,8.7447,8.7907
8.7447,8.7907,8.7738
8.7907,8.7738,8.5075
8.7738,8.5075,8.4312
8.5075,8.4312,8.6839
8.4312,8.6839,8.9114
8.6839,8.9114,8.8895
8.9114,8.8895,8.9863
8.8895,8.9863,8.9492
8.9863,8.9492,9.0102
8.9492,9.0102,9.062
9.0102,9.062,8.6976
9.062,8.6976,8.8526
8.6976,8.8526,8.6811
8.8526,8.6811,8.8128
8.6811,8.8128,9.0449
8.8128,9.0449,9.0666
9.0449,9.0666,9.2639
9.0666,9.2639,9.2478
9.2639,9.2478,9.2295
9.2478,9.2295,9.2047
9.2295,9.2047,9.0612
9.2047,9.0612,9.1414
9.0612,9.1414,9.1818
9.1414,9.1818,9.1482
9.1818,9.1482,9.2655
9.1482,9.2655,9.3629
9.2655,9.3629,9.4518
9.3629,9.4518,9.5942
9.4518,9.5942,9.5127
9.5942,9.5127,9.4869
9.5127,9.4869,9.3656
9.4869,9.3656,9.3332
9.3656,9.3332,9.5478
9.3332,9.5478,9.4681
9.5478,9.4681,9.4463
9.4681,9.4463,9.4926
9.4463,9.4926,9.3352
9.4926,9.3352,9.3651
9.3352,9.3651,9.4416
9.3651,9.4416,9.419
9.4416,9.419,9.4617
9.419,9.4617,9.4936
9.4617,9.4936,9.3567
9.4936,9.3567,9.3872
9.3567,9.3872,9.4395
9.3872,9.4395,9.3707
9.4395,9.3707,9.4303
9.3707,9.4303,9.3898
9.4303,9.3898,9.3707
9.3898,9.3707,9.3353
9.3707,9.3353,9.3708
9.3353,9.3708,9.4019
9.3708,9.4019,9.0326
9.4019,9.0326,9.0951
9.0326,9.0951,9.0507
9.0951,9.0507,9.1057
9.0507,9.1057,9.091
9.1057,9.091,9.0947
9.091,9.0947,9.1204
9.0947,9.1204,9.0846
9.1204,9.0846,9.0605
9.0846,9.0605,9.0773
9.0605,9.0773,9.077
9.0773,9.077,9.0861
9.077,9.0861,9.1112
9.0861,9.1112,9.1576
9.1112,9.1576,9.1722
9.1576,9.1722,9.4386
9.1722,9.4386,9.3443
9.4386,9.3443,9.3495
9.3443,9.3495,9.3648
9.3495,9.3648,9.313
9.3648,9.313,9.3465
9.313,9.3465,9.2681
9.3465,9.2681,9.2
9.2681,9.2,9.0123
9.2,9.0123,9.103
9.0123,9.103,9.1068
9.103,9.1068,9.0866
9.1068,9.0866,9.1371
9.0866,9.1371,9.1736
9.1371,9.1736,9.1429
9.1736,9.1429,9.2172
9.1429,9.2172,9.1698
9.2172,9.1698,9.113
9.1698,9.113,9.1495
9.113,9.1495,9.156
9.1495,9.156,9.2305
9.156,9.2305,9.2203
9.2305,9.2203,9.4068
9.2203,9.4068,9.417
9.4068,9.417,9.4326
9.417,9.4326,9.4328
9.4326,9.4328,9.4151
9.4328,9.4151,9.4193
9.4151,9.4193,9.6534
9.4193,9.6534,9.6223
9.6534,9.6223,9.6106
9.6223,9.6106,9.654
9.6106,9.654,9.5168
9.654,9.5168,9.5544
9.5168,9.5544,9.489
9.5544,9.489,9.4811
9.489,9.4811,9.5807
9.4811,9.5807,9.5241
9.5807,9.5241,9.5116
9.5241,9.5116,9.4752
9.5116,9.4752,9.4629
9.4752,9.4629,9.4458
9.4629,9.4458,9.456
9.4458,9.456,9.4783
9.456,9.4783,9.5141
9.4783,9.5141,9.5941
9.5141,9.5941,9.5823
9.5941,9.5823,9.6202
9.5823,9.6202,10.0892
9.6202,10.0892,9.9597
10.0892,9.9597,9.9249
9.9597,9.9249,9.8506
9.9249,9.8506,9.8849
9.8506,9.8849,9.8864
9.8849,9.8864,9.8856
9.8864,9.8856,9.8537
9.8856,9.8537,9.8027
9.8537,9.8027,9.79
9.8027,9.79,9.7457
9.79,9.7457,9.7963
9.7457,9.7963,9.853
9.7963,9.853,9.7993
9.853,9.7993,9.8147
9.7993,9.8147,9.8743
9.8147,9.8743,9.8787
9.8743,9.8787,9.856
9.8787,9.856,9.883
9.856,9.883,9.8296
9.883,9.8296,9.6667
9.8296,9.6667,9.6568
9.6667,9.6568,9.5994
9.6568,9.5994,9.6652
9.5994,9.6652,9.7033
9.6652,9.7033,9.6927
9.7033,9.6927,9.6815
9.6927,9.6815,9.7152
9.6815,9.7152,9.6583
9.7152,9.6583,9.5503
9.6583,9.5503,9.6149
9.5503,9.6149,9.5789
9.6149,9.5789,9.6033
9.5789,9.6033,9.5585
